,types,counts,distincts,nulls,missing_ration,uniques,skewness,kurtosis,corr SalePrice
AgeAsOfSale,int64,1453,122,0,0.0,"[array([5, 31, 7, 91, 8, 16, 3, 36, 77, 69, 43, 1, 46, 48, 78, 40, 39, 4,
       51, 6, 42, 2, 59, 49, 81, 88, 15, 55, 57, 53, 41, 24, 33, 47, 89,
       10, 72, 25, 52, 44, 0, 87, 12, 65, 34, 11, 56, 95, 60, 99, 14, 94,
       13, 45, 97, 90, 30, 76, 122, 54, 62, 20, 37, 68, 50, 71, 9, 38, 18,
       58, 70, 32, 35, 83, 84, 66, 19, 22, 86, 98, 114, 93, 75, 82, 17,
       106, 29, 96, 27, 92, 128, 61, 67, 21, 26, 108, 28, 63, 73, 74, 80,
       115, 126, 102, 85, 23, 110, 117, 129, 64, 100, 111, 104, 119, 127,
       107, 135, 109, 136, 103, 79, 125], dtype=object)]",0.6042243613523081,-0.4383510825572223,-0.5221253778781823
AgeGarageAsOfSale,float64,1453,137,0,0.0,"[array([0.0, 83.0, 62.0, 54.0, 1.0, -7.0, -1955.0, 2.0, -1920.0, 51.0, 7.0,
       15.0, 69.0, 5.0, 35.0, -1968.0, 56.0, 14.0, -1915.0, -1994.0,
       -10.0, -1959.0, 20.0, -1919.0, 40.0, -1935.0, -1930.0, -1971.0,
       48.0, -2004.0, -1924.0, -1956.0, -1940.0, 50.0, 12.0, 78.0, 101.0,
       17.0, -1912.0, 3.0, -1925.0, 18.0, 4.0, -1945.0, 29.0, 45.0, 26.0,
       11.0, 53.0, 88.0, 123.0, 21.0, -6.0, 38.0, 77.0, 44.0, 32.0,
       -1922.0, 22.0, -1910.0, -1941.0, 13.0, -1972.0, 70.0, 85.0, 33.0,
       -1978.0, 58.0, 6.0, -1900.0, -1946.0, 8.0, 27.0, 74.0, 37.0,
       -1990.0, 95.0, 43.0, -2.0, 42.0, -2007.0, -1914.0, 9.0, 57.0,
       -1936.0, -1970.0, 36.0, 47.0, 59.0, 99.0, 64.0, 106.0, 24.0, 19.0,
       10.0, -1.0, -1987.0, 34.0, 49.0, 41.0, 46.0, 79.0, -1961.0, 31.0,
       -1977.0, 73.0, 30.0, -1975.0, -1958.0, -1949.0, 87.0, -1923.0,
       -1926.0, -1965.0, -1916.0, -5.0, -1947.0, -1991.0, -1875.0, 52.0,
       72.0, 39.0, -1954.0, -1911.0, 75.0, 60.0, 93.0, -1931.0, -1872.0,
       89.0, 98.0, 16.0, -1985.0, 86.0, 71.0, -1974.0, -2006.0],
      dtype=object)]",-3.869535621797323,13.022099076170857,0.22993701516500437
BedroomAbvGr,int64,1453,8,0,0.0,"[array([3, 4, 1, 2, 0, 5, 6, 8], dtype=object)]",0.20781256266881104,2.2331564628251357,0.1716862593822699
BsmtFullBath,int32,1453,4,0,0.0,"[array([1, 0, 2, 3], dtype=object)]",0.5908409629195125,-0.8617614480436862,0.22895452427204074
ConditionIndex,int32,1453,19,0,0.0,"[array([24, 22, 20, 15, 26, 18, 16, 10, 17, 28, 11, 19, 13, 21, 12, 14, 6,
       9, 23], dtype=object)]",-1.2336818811635548,2.3836119215645963,0.4574702784783025
EnclosedPorch,int64,1453,120,0,0.0,"[array([0, 272, 228, 205, 176, 87, 172, 102, 37, 144, 64, 114, 202, 128,
       156, 44, 77, 192, 140, 180, 183, 39, 184, 40, 552, 30, 126, 96, 60,
       150, 120, 112, 252, 52, 224, 234, 244, 268, 137, 24, 108, 294, 177,
       218, 242, 91, 160, 130, 169, 105, 34, 248, 236, 32, 80, 115, 291,
       116, 158, 210, 36, 200, 84, 148, 136, 240, 54, 100, 189, 293, 164,
       216, 239, 67, 90, 56, 129, 98, 143, 70, 386, 154, 185, 134, 196,
       264, 275, 230, 254, 68, 194, 318, 48, 94, 138, 226, 174, 19, 170,
       220, 214, 280, 190, 330, 208, 145, 259, 81, 42, 123, 162, 286, 168,
       20, 301, 198, 221, 212, 50, 99], dtype=object)]",3.0803839109878917,10.361750858695277,-0.1276064486384096
Fireplaces,int64,1453,4,0,0.0,"[array([0, 1, 2, 3], dtype=object)]",0.6355438868910436,-0.2896602155628245,0.4697543856508318
FullBath,int64,1453,4,0,0.0,"[array([2, 1, 3, 0], dtype=object)]",0.03779636652990374,-0.869030040838183,0.5609903597184479
GarageCars,int32,1453,5,0,0.0,"[array([2, 3, 1, 0, 4], dtype=object)]",-0.34007882704642894,0.21699450190797487,0.6406859834626493
GoodOpenPorch,bool,1453,2,0,0.0,"[array([True, False], dtype=object)]",0.6990869135443807,-1.5133624719198011,0.37551057364595014
GoodScreenPorch,bool,1453,2,0,0.0,"[array([False, True], dtype=object)]",3.121031723460182,7.7515067913539175,0.09065302941349956
GoodWoodDeck,bool,1453,2,0,0.0,"[array([False, True], dtype=object)]",1.7078978679732062,0.9181770689658904,0.23024205195316572
HalfBath,int64,1453,3,0,0.0,"[array([1, 0, 2], dtype=object)]",0.6745761471199427,-1.0773361754837494,0.28827994425449444
KitchenAbvGr,int64,1453,4,0,0.0,"[array([1, 2, 3, 0], dtype=object)]",4.476086393544123,21.407394210474404,-0.13545245365390893
LotAreaGood,int32,1453,4,0,0.0,"[array([1, 2, 4, 3], dtype=object)]",1.062674556773479,1.1792459858103381,0.4059248800025252
MSSubClass,int64,1453,15,0,0.0,"[array([60, 20, 70, 50, 190, 45, 90, 120, 30, 85, 80, 160, 75, 180, 40],
      dtype=object)]",1.411934570488878,1.5946894422672306,-0.08513972595780173
QualIndex,int32,1453,60,0,0.0,"[array([75, 58, 71, 90, 47, 92, 67, 45, 113, 56, 69, 31, 32, 36, 24, 49,
       77, 109, 130, 60, 43, 73, 29, 38, 88, 62, 20, 33, 40, 79, 51, 68,
       54, 94, 111, 65, 41, 81, 132, 42, 48, 22, 107, 27, 34, 10, 52, 39,
       86, 26, 7, 96, 53, 128, 15, 35, 44, 25, 64, 46], dtype=object)]",0.7605847609648824,0.6071897857336266,0.8399223757968107
SalePrice,float64,1453,660,0,0.0,"[array([208500.0, 181500.0, 223500.0, 140000.0, 250000.0, 143000.0,
       307000.0, 200000.0, 129900.0, 118000.0, 129500.0, 345000.0,
       144000.0, 279500.0, 157000.0, 132000.0, 149000.0, 90000.0,
       159000.0, 139000.0, 325300.0, 139400.0, 230000.0, 154000.0,
       256300.0, 134800.0, 306000.0, 207500.0, 68500.0, 40000.0, 149350.0,
       179900.0, 165500.0, 309000.0, 145000.0, 153000.0, 109000.0,
       82000.0, 160000.0, 170000.0, 130250.0, 141000.0, 319900.0,
       239686.0, 249700.0, 113000.0, 127000.0, 177000.0, 114500.0,
       110000.0, 385000.0, 130000.0, 180500.0, 172500.0, 196500.0,
       438780.0, 124900.0, 158000.0, 101000.0, 202500.0, 219500.0,
       317000.0, 180000.0, 226000.0, 80000.0, 225000.0, 244000.0,
       185000.0, 144900.0, 107400.0, 91000.0, 135750.0, 136500.0,
       193500.0, 153500.0, 245000.0, 126500.0, 168500.0, 260000.0,
       174000.0, 164500.0, 85000.0, 123600.0, 109900.0, 98600.0, 163500.0,
       133900.0, 204750.0, 214000.0, 94750.0, 83000.0, 128950.0, 205000.0,
       178000.0, 118964.0, 198900.0, 169500.0, 100000.0, 115000.0,
       190000.0, 136900.0, 383970.0, 217000.0, 259500.0, 176000.0,
       155000.0, 320000.0, 163990.0, 136000.0, 153900.0, 181000.0,
       84500.0, 128000.0, 87000.0, 150000.0, 150750.0, 220000.0, 171000.0,
       231500.0, 166000.0, 204000.0, 125000.0, 105000.0, 222500.0,
       122000.0, 372402.0, 235000.0, 79000.0, 109500.0, 269500.0,
       254900.0, 162500.0, 412500.0, 103200.0, 152000.0, 127500.0,
       325624.0, 183500.0, 228000.0, 128500.0, 215000.0, 239000.0,
       163000.0, 184000.0, 243000.0, 211000.0, 501837.0, 200100.0,
       120000.0, 475000.0, 173000.0, 135000.0, 153337.0, 286000.0,
       315000.0, 192000.0, 148500.0, 311872.0, 104000.0, 274900.0,
       171500.0, 112000.0, 143900.0, 277000.0, 98000.0, 186000.0,
       252678.0, 156000.0, 161750.0, 134450.0, 210000.0, 107000.0,
       311500.0, 167240.0, 204900.0, 97000.0, 386250.0, 290000.0,
       106000.0, 192500.0, 148000.0, 403000.0, 94500.0, 128200.0,
       216500.0, 89500.0, 185500.0, 194500.0, 318000.0, 262500.0,
       110500.0, 241500.0, 137000.0, 76500.0, 276000.0, 151000.0, 73000.0,
       175500.0, 179500.0, 120500.0, 266000.0, 124500.0, 201000.0,
       415298.0, 228500.0, 244600.0, 179200.0, 164700.0, 88000.0,
       153575.0, 233230.0, 135900.0, 131000.0, 167000.0, 142500.0,
       175000.0, 158500.0, 267000.0, 149900.0, 295000.0, 305900.0,
       82500.0, 360000.0, 165600.0, 119900.0, 375000.0, 188500.0,
       270000.0, 187500.0, 342643.0, 354000.0, 301000.0, 126175.0,
       242000.0, 324000.0, 145250.0, 214500.0, 78000.0, 119000.0,
       284000.0, 207000.0, 228950.0, 377426.0, 202900.0, 87500.0,
       140200.0, 151500.0, 157500.0, 437154.0, 318061.0, 95000.0,
       105900.0, 177500.0, 134000.0, 280000.0, 198500.0, 147000.0,
       165000.0, 162000.0, 172400.0, 134432.0, 123000.0, 61000.0,
       340000.0, 394432.0, 179000.0, 187750.0, 213500.0, 76000.0,
       240000.0, 81000.0, 191000.0, 426000.0, 106500.0, 129000.0, 67000.0,
       241000.0, 245500.0, 164990.0, 108000.0, 258000.0, 168000.0,
       339750.0, 60000.0, 222000.0, 181134.0, 149500.0, 126000.0,
       142000.0, 206300.0, 275000.0, 109008.0, 195400.0, 85400.0, 79900.0,
       122500.0, 212000.0, 116000.0, 90350.0, 555000.0, 162900.0,
       199900.0, 119500.0, 188000.0, 256000.0, 161000.0, 263435.0,
       62383.0, 188700.0, 124000.0, 178740.0, 146500.0, 187000.0,
       440000.0, 251000.0, 132500.0, 208900.0, 380000.0, 297000.0,
       89471.0, 326000.0, 374000.0, 164000.0, 86000.0, 133000.0, 172785.0,
       91300.0, 34900.0, 430000.0, 226700.0, 289000.0, 208300.0, 164900.0,
       202665.0, 96500.0, 402861.0, 265000.0, 234000.0, 106250.0,
       315750.0, 446261.0, 200624.0, 107500.0, 39300.0, 111250.0,
       272000.0, 248000.0, 213250.0, 179665.0, 229000.0, 263000.0,
       112500.0, 255500.0, 121500.0, 268000.0, 325000.0, 316600.0,
       135960.0, 142600.0, 224500.0, 118500.0, 146000.0, 131500.0,
       181900.0, 253293.0, 369900.0, 79500.0, 185900.0, 451950.0,
       138000.0, 319000.0, 114504.0, 194201.0, 217500.0, 221000.0,
       359100.0, 313000.0, 261500.0, 75500.0, 137500.0, 183200.0,
       105500.0, 314813.0, 305000.0, 165150.0, 139900.0, 209500.0,
       93000.0, 264561.0, 274000.0, 370878.0, 143250.0, 98300.0, 205950.0,
       350000.0, 145500.0, 97500.0, 197900.0, 402000.0, 423000.0,
       230500.0, 173500.0, 103600.0, 257500.0, 372500.0, 159434.0,
       227875.0, 148800.0, 392000.0, 194700.0, 755000.0, 335000.0,
       108480.0, 141500.0, 89000.0, 123500.0, 138500.0, 196000.0,
       312500.0, 361919.0, 213000.0, 55000.0, 302000.0, 254000.0,
       179540.0, 52000.0, 102776.0, 189000.0, 130500.0, 159500.0,
       341000.0, 103000.0, 236500.0, 131400.0, 93500.0, 239900.0,
       299800.0, 236000.0, 265979.0, 260400.0, 275500.0, 158900.0,
       179400.0, 215200.0, 337000.0, 216837.0, 538000.0, 134900.0,
       102000.0, 395000.0, 221500.0, 175900.0, 187100.0, 161500.0,
       233000.0, 107900.0, 160200.0, 146800.0, 269790.0, 143500.0,
       485000.0, 582933.0, 227680.0, 135500.0, 159950.0, 144500.0,
       55993.0, 157900.0, 224900.0, 271000.0, 224000.0, 183000.0,
       139500.0, 232600.0, 147400.0, 237000.0, 139950.0, 174900.0,
       133500.0, 189950.0, 250580.0, 248900.0, 169000.0, 200500.0,
       66500.0, 303477.0, 132250.0, 328900.0, 122900.0, 154500.0,
       118858.0, 142953.0, 611657.0, 125500.0, 255000.0, 154300.0,
       173733.0, 75000.0, 35311.0, 238000.0, 176500.0, 145900.0, 169990.0,
       193000.0, 285000.0, 117500.0, 184900.0, 253000.0, 239799.0,
       244400.0, 150900.0, 197500.0, 172000.0, 116500.0, 214900.0,
       178900.0, 37900.0, 99500.0, 182000.0, 167500.0, 85500.0, 178400.0,
       336000.0, 159895.0, 255900.0, 117000.0, 395192.0, 195000.0,
       197000.0, 348000.0, 173900.0, 337500.0, 121600.0, 206000.0,
       232000.0, 136905.0, 119200.0, 227000.0, 203000.0, 213490.0,
       194000.0, 287000.0, 293077.0, 310000.0, 119750.0, 84000.0,
       315500.0, 262280.0, 278000.0, 139600.0, 556581.0, 84900.0,
       176485.0, 200141.0, 185850.0, 328000.0, 167900.0, 151400.0,
       91500.0, 138800.0, 155900.0, 83500.0, 252000.0, 92900.0, 176432.0,
       274725.0, 134500.0, 184100.0, 133700.0, 118400.0, 212900.0,
       163900.0, 259000.0, 239500.0, 94000.0, 424870.0, 174500.0,
       116900.0, 201800.0, 218000.0, 235128.0, 108959.0, 233170.0,
       245350.0, 625000.0, 171900.0, 154900.0, 392500.0, 745000.0,
       186700.0, 104900.0, 262000.0, 219210.0, 116050.0, 271900.0,
       229456.0, 80500.0, 137900.0, 367294.0, 101800.0, 138887.0,
       265900.0, 248328.0, 465000.0, 186500.0, 169900.0, 171750.0,
       294000.0, 165400.0, 301500.0, 99900.0, 128900.0, 183900.0,
       378500.0, 381000.0, 185750.0, 68400.0, 150500.0, 281000.0,
       333168.0, 206900.0, 295493.0, 111000.0, 156500.0, 72500.0, 52500.0,
       155835.0, 108500.0, 283463.0, 410000.0, 156932.0, 144152.0,
       216000.0, 274300.0, 466500.0, 58500.0, 237500.0, 377500.0,
       246578.0, 281213.0, 137450.0, 193879.0, 282922.0, 257000.0,
       223000.0, 274970.0, 182900.0, 192140.0, 143750.0, 64500.0,
       394617.0, 149700.0, 149300.0, 121000.0, 179600.0, 92000.0,
       287090.0, 266500.0, 142125.0, 147500.0], dtype=object)]",1.8961187123701213,6.5915215972792085,1.0
TotRmsAbvGrd,int64,1453,12,0,0.0,"[array([8, 6, 7, 9, 5, 11, 4, 10, 12, 3, 2, 14], dtype=object)]",0.6590169784217249,0.8462516438920216,0.5392667428672789
YearsSinceRemod,int64,1453,61,0,0.0,"[array([5, 31, 6, 36, 8, 14, 2, 58, 43, 0, 46, 48, 40, 39, 4, 44, 57, 9,
       10, 1, 51, 19, 3, 53, 41, 24, 28, 47, 56, 52, 11, 60, 21, 34, 7,
       42, 13, 27, 12, 45, 16, 25, 30, 33, 54, 20, 37, 50, 15, 38, 17, 32,
       35, 22, 18, 59, 29, 49, 26, 55, 23], dtype=object)]",0.49573304986214894,-1.2720869514846953,-0.5079600481387836
Alley_Grvl,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",5.1136695702293755,24.182901465890495,-0.1388270511263042
Alley_None,uint8,1453,2,0,0.0,"[array([1, 0], dtype=object)]",-3.61397383111935,11.076050738907547,0.12297073395312455
Alley_Pave,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",5.703965380617655,30.577307724397155,-0.02710977738137896
BldgType_1Fam,uint8,1453,2,0,0.0,"[array([1, 0], dtype=object)]",-1.818723377287611,1.3095553827103323,0.1409796554084776
BldgType_2fmCon,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",6.632010234905425,42.041426361265124,-0.09703193073372701
BldgType_Duplex,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",5.003108405357084,23.062836979941554,-0.11421981534133055
BldgType_Twnhs,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",5.5574227342154146,28.92475943499692,-0.09832301332921731
BldgType_TwnhsE,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",3.174513552739651,8.088668159452837,-0.0010299967438517667
BsmtExposure_Av,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",1.9469969426158495,1.7932635609684535,0.136377575322602
BsmtExposure_Gd,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",2.8503105684507,6.132709893807157,0.3117413289198703
BsmtExposure_Mn,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",3.138644135011254,7.861906740281641,0.04462888352627388
BsmtExposure_No,uint8,1453,2,0,0.0,"[array([1, 0], dtype=object)]",-0.6441104414919814,-1.5873085078111662,-0.26586019904830405
BsmtExposure_None,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",5.944462954607376,33.38258784634133,-0.14997152098893426
BsmtFinType1_ALQ,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",1.9469969426158469,1.7932635609684358,-0.10137849420683546
BsmtFinType1_BLQ,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",2.6353963997759156,4.952128713885351,-0.1320310724536197
BsmtFinType1_GLQ,uint8,1453,2,0,0.0,"[array([1, 0], dtype=object)]",0.9576891082668064,-1.0843260033498126,0.4345780379280609
BsmtFinType1_LwQ,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",4.08941533865088,14.743609961375718,-0.08394155655546581
BsmtFinType1_None,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",6.030877128485281,34.41885334847468,-0.1525832684402644
BsmtFinType1_Rec,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",2.83587207271792,6.050496806669172,-0.13485491393149865
BsmtFinType1_Unf,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",0.9022756079038032,-1.1875352225781413,-0.0841608560121463
BsmtFinType2_ALQ,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",8.581313466932462,71.73768324561483,0.042459156140132764
BsmtFinType2_BLQ,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",6.413927134848743,39.192406323585566,-0.05668280627725563
BsmtFinType2_GLQ,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",10.050071521478428,99.1403988606477,0.00042597151805986403
BsmtFinType2_LwQ,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",5.355263732443627,26.71562083294202,-0.037043127213055624
BsmtFinType2_None,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",5.9444629546073635,33.38258784634115,-0.1450043678032097
BsmtFinType2_Rec,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",4.89852411151394,22.025854366245383,-0.03888217546501243
BsmtFinType2_Unf,uint8,1453,2,0,0.0,"[array([1, 0], dtype=object)]",-2.072376650501807,2.297906070102613,0.11675819563806628
CentralAir_N,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",3.5199813773984867,10.404588540717668,-0.250954900540867
CentralAir_Y,uint8,1453,2,0,0.0,"[array([1, 0], dtype=object)]",-3.5199813773984867,10.404588540717668,0.25095490054086705
Condition1_Artery,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",5.230819929595605,25.396432509803184,-0.10597478065896279
Condition1_Feedr,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",3.905412982820975,13.27051505396059,-0.11662752660326696
Condition1_Norm,uint8,1453,2,0,0.0,"[array([1, 0], dtype=object)]",-2.1226052406798903,2.5089045280569717,0.11188461393471977
Condition1_PosA,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",13.379089346166188,177.24399978554933,0.042369281797245494
Condition1_PosN,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",8.825846097011627,76.00016891319102,0.051086509545908244
Condition1_RRAe,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",11.37389890769576,127.54113021478227,-0.04643917592846027
Condition1_RRAn,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",7.280952162302534,51.08257581000494,0.006384630596378064
Condition1_RRNe,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",26.925785660064673,723.9944837112677,0.0047252959331273905
Condition1_RRNn,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",16.9764059146901,286.5928405536499,0.023493647814274064
Exterior1st_AsbShng,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",8.355121537220159,67.90151798699051,-0.10893736335377668
Exterior1st_AsphShn,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",38.11823710509294,1453.00000000004,-0.026639045690213612
Exterior1st_BrkComm,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",26.925785660063468,723.9944837112081,-0.05123928957769341
Exterior1st_BrkFace,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",5.113669570229261,24.182901465889987,0.03311207293689877
Exterior1st_CBlock,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",38.11823710509206,1453.000000000008,-0.024987300031374504
Exterior1st_CemntBd,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",4.61559473098516,19.330320310819175,0.1354162272247732
Exterior1st_HdBoard,uint8,1453,2,0,0.0,"[array([0, 1], dtype=object)]",1.9321211539703322,1.7354790817889594,-0.09387899311135367
